caller_service,callee_service,operation,start_time
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left,1675078732052000000
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078732060000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078732064000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078732070000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078732077000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078732755000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078732769000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078732775000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078732783000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078732815000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078732819000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078732824000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-auth-service-7f8d7d756d-kzp47,/api/v1/users/login,1675078733046000000
ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,/api/v1/verifycode/verify/{verifyCode},1675078733054000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left,1675078733384000000
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078733391000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078733394000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078733399000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078733405000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078733423000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078733435000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078733440000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078733446000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078733454000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078733458000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078733463000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-food-service-f5756978c-6sb8t,/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},1675078733504000000
ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,/api/v1/trainfoodservice/trainfoods/{tripId},1675078733510000000
ts-food-service-f5756978c-6sb8t,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/routes/{tripId},1675078733523000000
ts-travel-service-64469b5b48-5rjvb,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId},1675078733534000000
ts-food-service-f5756978c-6sb8t,ts-station-food-service-dc4d75dd-k65k2,/api/v1/stationfoodservice/stationfoodstores,1675078733556000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-other-service-66646bdb5b-l8hp6,/api/v1/preserveotherservice/preserveOther,1675078733608000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,/api/v1/securityservice/securityConfigs/{accountId},1675078733614000000
ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/security/{checkDate}/{accountId},1675078733621000000
ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId},1675078733636000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-contacts-service-866bd68c97-dzqgd,/api/v1/contactservice/contacts/{id},1675078733653000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trip_detail,1675078733670000000
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travel,1675078733675000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId},1675078733678000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId},1675078733683000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byName/{name},1675078733686000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId},1675078733691000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/{routeId}/{trainType},1675078733704000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078733716000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078733721000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078733733000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078733965000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078733969000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078733997000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travel,1675078734037000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId},1675078734040000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId},1675078734044000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byName/{name},1675078734048000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId},1675078734056000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/{routeId}/{trainType},1675078734066000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats,1675078734077000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078734081000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther,1675078734098000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-assurance-service-69876c9868-wqgrl,/api/v1/assuranceservice/assurances/{typeIndex}/{orderId},1675078734114000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-food-service-f5756978c-6sb8t,/api/v1/foodservice/orders,1675078734144000000
ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,food_delivery process,1675078734159000000
ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,food_delivery process,1675078734159000000
ts-preserve-other-service-66646bdb5b-l8hp6,ts-user-service-687d654649-f8jtd,/api/v1/userservice/users/id/{userId},1675078734163000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/trips/left,1675078734192000000
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078734205000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078734208000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078734212000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078734217000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078734235000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078734248000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078734254000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078734261000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078734299000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078734303000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078734333000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-food-service-f5756978c-6sb8t,/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},1675078734353000000
ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,/api/v1/trainfoodservice/trainfoods/{tripId},1675078734357000000
ts-food-service-f5756978c-6sb8t,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/routes/{tripId},1675078734366000000
ts-travel-service-64469b5b48-5rjvb,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId},1675078734370000000
ts-food-service-f5756978c-6sb8t,ts-station-food-service-dc4d75dd-k65k2,/api/v1/stationfoodservice/stationfoodstores,1675078734383000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-service-b5ccf8557-l5l4p,/api/v1/preserveservice/preserve,1675078734451000000
ts-preserve-service-b5ccf8557-l5l4p,ts-security-service-cb9788d56-bdkcx,/api/v1/securityservice/securityConfigs/{accountId},1675078734456000000
ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/security/{checkDate}/{accountId},1675078734460000000
ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId},1675078734471000000
ts-preserve-service-b5ccf8557-l5l4p,ts-contacts-service-866bd68c97-dzqgd,/api/v1/contactservice/contacts/{id},1675078734489000000
ts-preserve-service-b5ccf8557-l5l4p,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/trip_detail,1675078734511000000
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travel,1675078734520000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId},1675078734523000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId},1675078734527000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byName/{name},1675078734531000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId},1675078734535000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/{routeId}/{trainType},1675078734549000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078734561000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078734565000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078734587000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078734596000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078734599000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078734614000000
ts-preserve-service-b5ccf8557-l5l4p,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travel,1675078734629000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId},1675078734632000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId},1675078734636000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byName/{name},1675078734639000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId},1675078734643000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/{routeId}/{trainType},1675078734658000000
ts-preserve-service-b5ccf8557-l5l4p,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats,1675078734671000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078734676000000
ts-preserve-service-b5ccf8557-l5l4p,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order,1675078734706000000
ts-preserve-service-b5ccf8557-l5l4p,ts-assurance-service-69876c9868-wqgrl,/api/v1/assuranceservice/assurances/{typeIndex}/{orderId},1675078734724000000
ts-preserve-service-b5ccf8557-l5l4p,ts-food-service-f5756978c-6sb8t,/api/v1/foodservice/orders,1675078734743000000
ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,food_delivery process,1675078734758000000
ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,food_delivery process,1675078734758000000
ts-preserve-service-b5ccf8557-l5l4p,ts-user-service-687d654649-f8jtd,/api/v1/userservice/users/id/{userId},1675078734761000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left,1675078737440000000
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078737448000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078737452000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078737458000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078737464000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078737493000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078737521000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078737528000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078737538000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078737546000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078737550000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078737555000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-execute-service-775f544d9-tmwcv,/api/v1/executeservice/execute/execute/{orderId},1675078740052000000
ts-execute-service-775f544d9-tmwcv,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/{orderId},1675078740058000000
ts-execute-service-775f544d9-tmwcv,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/{orderId},1675078740066000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left,1675078740315000000
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078740324000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078740328000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078740335000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078740576000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078740619000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078740633000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078740639000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078740647000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078740657000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078740661000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078740666000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/trips/left,1675078741764000000
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078741782000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078741785000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078741790000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078742039000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078742058000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078742075000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078742082000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078742089000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078742100000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078742105000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078742110000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078742120000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078742124000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078742129000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078742138000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078742142000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078742147000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078742177000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078742181000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078742201000000
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078742228000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/tickets,1675078742232000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078742238000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-execute-service-775f544d9-tmwcv,/api/v1/executeservice/execute/collected/{orderId},1675078742860000000
ts-execute-service-775f544d9-tmwcv,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/{orderId},1675078742865000000
ts-execute-service-775f544d9-tmwcv,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/{orderId},1675078742873000000
ts-execute-service-775f544d9-tmwcv,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/status/{orderId}/{status},1675078742879000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-inside-payment-service-6f94c49ccd-t4k6c,/api/v1/inside_pay_service/inside_payment,1675078743251000000
ts-inside-payment-service-6f94c49ccd-t4k6c,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/{orderId},1675078743265000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left,1675078743560000000
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078743569000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078743572000000
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078743578000000
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078743812000000
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078743832000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078743845000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078743851000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078743858000000
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078743867000000
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078743871000000
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078743876000000
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/trips/left,1675078744053000000
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078744067000000
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078744069000000
